可也;かなり;considerably,fairly,quite,rather,pretty
可成り;かなり;considerably,fairly,quite,rather,pretty
可なり;かなり;considerably,fairly,quite,rather,pretty
可成;かなり;considerably,fairly,quite,rather,pretty
害;がい;injury,harm,evil influence,damage
神様;かみさま;God,god
神さま;かみさま;God,god
様;よう;appearing ...,looking ...
神;かみ;god,deity,divinity,spirit,kami
加護;かご;divine protection
国;くに;country,state
邦;くに;country,state
國;くに;country,state
歴史書;れきししょ;history book
素晴らしい;すばらしい;wonderful,splendid,magnificent
素晴しい;すばらしい;wonderful,splendid,magnificent
素薔薇しい;すばらしい;wonderful,splendid,magnificent
私;わたし;I,me
領地;りょうち;territory,dominion,grounds (e.g. school)
鑑識;かんしき;judgement,judgment,discernment,discrimination,having an eye for
鑑識;かんしき;judgement,judgment,discernment,discrimination,having an eye for
鑑識;かんしき;judgement,judgment,discernment,discrimination,having an eye for
鑑識;かんしき;judgement,judgment,discernment,discrimination,having an eye for
鑑識;かんしき;judgement,judgment,discernment,discrimination,having an eye for
様;よう;appearing ...,looking ...
様;よう;appearing ...,looking ...
様;よう;appearing ...,looking ...
様;よう;appearing ...,looking ...
